sitename,uvi,publishagency,county,wgs84lon,wgs84lat,publishtime
鞍部,3.11,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 12:00"
澎湖,9.89,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 12:00"
屏東,8,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 12:00"
宜蘭,8.56,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 12:00"
苗栗,4,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 12:00"
基隆,5.51,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 12:00"
新屋,4.03,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 12:00"
淡水,2,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 12:00"
新營,5,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 12:00"
高雄,6.95,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 12:00"
玉山,7.64,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 12:00"
臺南,4.17,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 12:00"
沙鹿,4,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 12:00"
彰化,4,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 12:00"
臺中,5.78,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 12:00"
橋頭,6,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 12:00"
臺北,3.03,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 12:00"
馬祖,1.57,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 12:00"
南投,4,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 12:00"
斗六,5,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 11:00"
花蓮,4.14,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 11:00"
苗栗,6,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 11:00"
桃園,2,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 11:00"
彰化,6,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 11:00"
嘉義,3.19,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 11:00"
阿里山,3,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 11:00"
日月潭,3.38,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 11:00"
新營,1,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 11:00"
沙鹿,5,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 11:00"
南投,5,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 11:00"
屏東,6,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 11:00"
宜蘭,7.83,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 11:00"
澎湖,9.06,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 11:00"
板橋,2,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 11:00"
馬祖,1.86,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 11:00"
橋頭,3,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 11:00"
臺中,4.28,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 11:00"
淡水,3,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 11:00"
金門,3.91,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 11:00"
塔塔加,2.9,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 11:00"
朴子,2,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 11:00"
蘭嶼,0.50,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 11:00"
高雄,3.62,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 11:00"
鞍部,4.22,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 11:00"
成功,2.84,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 11:00"
新屋,5.06,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 11:00"
臺東,10.61,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 11:00"
新竹,2.97,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 11:00"
恆春,3.31,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 11:00"
臺南,4.45,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 11:00"
基隆,3.91,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 11:00"
臺北,2.96,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 11:00"
玉山,6.89,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 11:00"
宜蘭,6.71,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 10:00"
高雄,3.01,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 10:00"
臺南,0.91,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 10:00"
新竹,2.27,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 10:00"
蘭嶼,1.11,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 10:00"
屏東,5,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 10:00"
桃園,2,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 10:00"
馬祖,2.25,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 10:00"
橋頭,2,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 10:00"
板橋,2,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 10:00"
花蓮,2.86,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 10:00"
鞍部,3.23,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 10:00"
新屋,4.58,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 10:00"
臺中,4.09,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 10:00"
苗栗,2,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 10:00"
新營,2,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 10:00"
臺東,5.37,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 10:00"
沙鹿,5,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 10:00"
基隆,1.45,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 10:00"
玉山,7.98,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 10:00"
成功,3.44,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 10:00"
澎湖,4.02,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 10:00"
彰化,4,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 10:00"
斗六,6,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 10:00"
