"","county","date","cases"
"708","基隆市",2021-07-02,307
"709","新北市",2021-07-02,6591
"710","台北市",2021-07-03,4614
"711","屏東縣",2021-07-03,47
"712","彰化縣",2021-07-03,268
"713","新北市",2021-07-03,6598
"714","桃園市",2021-07-03,715
"715","苗栗縣",2021-07-03,547
"716","台北市",2021-07-04,4621
"717","新北市",2021-07-04,6602
"718","新竹縣",2021-07-04,108
"719","桃園市",2021-07-04,718
"720","台北市",2021-07-05,4639
"721","宜蘭縣",2021-07-05,97
"722","屏東縣",2021-07-05,48
"723","新北市",2021-07-05,6616
"724","桃園市",2021-07-05,722
"725","台北市",2021-07-06,4651
"726","新北市",2021-07-06,6624
"727","桃園市",2021-07-06,730
"728","台北市",2021-07-07,4665
"729","新北市",2021-07-07,6639
"730","台中市",2021-07-08,201
"731","台北市",2021-07-08,4675
"732","基隆市",2021-07-08,308
"733","彰化縣",2021-07-08,269
"734","新北市",2021-07-08,6646
"735","桃園市",2021-07-08,734
"736","台中市",2021-07-09,202
"737","台北市",2021-07-09,4687
"738","基隆市",2021-07-09,309
"739","新北市",2021-07-09,6658
"740","桃園市",2021-07-09,736
"741","台北市",2021-07-10,4694
"742","新北市",2021-07-10,6671
"743","新竹市",2021-07-10,42
"744","新竹縣",2021-07-10,109
"745","台中市",2021-07-11,203
"746","台北市",2021-07-11,4698
"747","新北市",2021-07-11,6681
"748","苗栗縣",2021-07-11,548
"749","台中市",2021-07-12,205
"750","台北市",2021-07-12,4703
"751","新北市",2021-07-12,6690
"752","桃園市",2021-07-12,739
"753","台北市",2021-07-13,4713
"754","彰化縣",2021-07-13,270
"755","桃園市",2021-07-13,744
"756","台北市",2021-07-14,4724
"757","新北市",2021-07-14,6700
"758","桃園市",2021-07-14,748
"759","台北市",2021-07-15,4731
"760","基隆市",2021-07-15,310
"761","新北市",2021-07-15,6708
"762","桃園市",2021-07-15,750
"763","台北市",2021-07-16,4739
"764","新北市",2021-07-16,6715
"765","桃園市",2021-07-16,751
"766","台北市",2021-07-17,4741
"767","新北市",2021-07-17,6720
"768","桃園市",2021-07-17,756
"769","台北市",2021-07-18,4744
"770","基隆市",2021-07-18,312
"771","新北市",2021-07-18,6721
"772","桃園市",2021-07-18,758
"773","台中市",2021-07-19,206
"774","台北市",2021-07-19,4753
"775","彰化縣",2021-07-19,271
"776","新北市",2021-07-19,6729
"777","新竹市",2021-07-19,43
"778","桃園市",2021-07-19,761
"779","苗栗縣",2021-07-19,549
"780","高雄市",2021-07-20,87
"781","台北市",2021-07-20,4761
"782","新北市",2021-07-20,6742
"783","桃園市",2021-07-20,764
"784","台北市",2021-07-21,4768
"785","宜蘭縣",2021-07-21,98
"786","新北市",2021-07-21,6750
"787","桃園市",2021-07-21,766
"788","台北市",2021-07-22,4776
"789","基隆市",2021-07-22,313
"790","新北市",2021-07-22,6758
"791","桃園市",2021-07-22,769
"792","台中市",2021-07-23,207
"793","台北市",2021-07-23,4781
"794","嘉義縣",2021-07-23,20
"795","彰化縣",2021-07-23,272
"796","新北市",2021-07-23,6763
"797","桃園市",2021-07-23,773
